,x,y
14x25,806.4637288135591,602.1363389830503
14x26,800.0937288135592,898.0363389830509
14x27,809.353728813559,1183.1563389830508
14x28,818.9037288135592,1468.8563389830506
14x29,814.273728813559,1768.5463389830502
14x30,822.6637288135589,2045.7863389830509
15x17,1094.3837288135592,-1715.5236610169495
15x18,1113.483728813559,-1424.8636610169497
15x19,1114.063728813559,-1137.4236610169492
15x20,1103.643728813559,-847.9336610169494
15x21,1115.2237288135589,-525.79366101695
15x25,1109.433728813559,599.5163389830504
15x26,1104.2237288135589,885.5063389830502
15x27,1104.5137288135588,1170.3263389830508
15x28,1102.2037288135589,1463.8963389830506
15x29,1112.9037288135592,1756.3063389830504
15x30,1098.7237288135589,2046.0863389830502
16x18,1375.9437288135587,-1426.0336610169497
16x19,1365.5337288135588,-1155.7836610169497
16x20,1380.5737288135588,-841.2236610169493
16x21,1366.6837288135594,-549.4036610169496
16x22,1382.3137288135586,-230.7636610169493
16x23,1383.4737288135593,11.786338983050882
16x24,1375.083728813559,300.69633898305074
16x25,1371.8937288135594,593.0963389830504
16x26,1382.3137288135586,880.8363389830502
16x27,1373.6337288135592,1174.4063389830508
16x28,1369.873728813559,1468.5663389830506
16x29,1385.4937288135588,1759.7963389830502
16x30,1380.293728813559,2043.456338983051
17x20,1658.0937288135592,-824.9036610169496
17x21,1669.9537288135589,-556.4036610169496
17x24,1665.0337288135588,321.9763389830505
17x25,1644.4937288135588,592.2263389830505
17x26,1666.4837288135586,881.4263389830503
17x27,1657.5137288135593,1167.1163389830508
17x29,1647.963728813559,1756.3063389830504
17x30,1658.9537288135589,2042.876338983051
18x19,1959.6137288135587,-1131.8836610169492
18x21,1951.2237288135593,-553.7736610169495
18x22,1978.4237288135591,-248.54366101694995
18x23,1955.8537288135594,-3.953661016949809
18x24,1955.2737288135586,291.3663389830508
18x25,1968.0137288135593,583.7663389830504
18x26,1971.7737288135586,869.4663389830503
18x28,1963.6737288135591,1494.7963389830502
18x29,1972.3537288135594,1743.4763389830505
18x30,1963.963728813559,2060.07633898305
19x19,2255.9337288135594,-1140.6236610169499
